37º24′34.0932",-4º28′41.7564"
37º24′34.0572",-4º28′41.6052"
37º24′33.9810",-4º28′41.4348"
37º24′33.9534",-4º28′41.2824"
37º24′33.8934",-4º28′41.1324"
37º24′33.8400",-4º28′40.9638"
37º24′33.8298",-4º28′40.8174"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
 0º 0′ 0.0000", 0º 0′ 0.0000"
